"","X","business_id","name","categories","city","state","stars","review_count","BusinessParking_street","BusinessParking_validated","BusinessParking_lot","BusinessParking_valet","BikeParking","Caters","WheelchairAccessible","OutdoorSeating","GoodForMeal_latenight","GoodForMeal_lunch","GoodForMeal_dinner","GoodForMeal_breakfast","GoodForMeal_brunch","CoatCheck","DogsAllowed","NumberOfCheckins","BusinessType"
"1070",1234,"1ZgqJjtb91E9tOKhKrzsuw","""Hacienda's Mexican Grill""","Mexican;Restaurants","Scottsdale","AZ",4,143,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,483,"Good"
"1071",1235,"1zH3_Agw8CTgSmKgg4JNmg","""Yasda Bento""","Restaurants;Korean;Noodles;Japanese","Phoenix","AZ",3.5,65,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,128,"Good"
"1072",1236,"1ZhZUzFbbt1gGXDEW3JaBw","""Griff's""","Nightlife;Sports Bars;American (Traditional);Restaurants;Bars;Pool Halls","Las Vegas","NV",4.5,32,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,62,"Good"
"1073",1237,"1zI3trw5QLNdypXBfudh0w","""Marsella's Pizza""","Restaurants;Pizza","Cleveland","OH",4,9,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,28,"Good"
"1074",1238,"1zIPHXKJGnzYraLEXQebig","""The Charlotte Cafe""","American (Traditional);Sandwiches;Breakfast & Brunch;Restaurants","Charlotte","NC",3,61,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,168,"Good"
"1075",1239,"1ZJz840L496LAmQdeDv0WA","""Pinches Tacos""","Mexican;Restaurants","Las Vegas","NV",4,409,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1211,"Good"
"1076",1240,"1ZkcNwQpIESg8LuAHzye6Q","""ZuZu Cafe & Market""","Breakfast & Brunch;Delis;Cafes;Coffee & Tea;Ice Cream & Frozen Yogurt;Restaurants;Food","Madison","WI",3.5,58,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,152,"Good"
"1077",1241,"1zKjojtmAHuVOHhtGVxC2Q","""Jukebox""","Bars;Arts & Entertainment;Cocktail Bars;Nightlife;Restaurants;Music Venues","Cleveland","OH",4.5,55,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,245,"Good"
"1078",1242,"1zlX9isu6SuvzVP86ttKJw","""Just Fresh""","American (New);Restaurants","Charlotte","NC",4.5,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,52,"Good"
"1079",1243,"1zMzkxYgVqJbKGTMQorarA","""Coo Coo's Gourmet Coffee Cafe""","Breakfast & Brunch;Food;Restaurants;British;Comfort Food;Coffee & Tea","Henderson","NV",4,113,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,288,"Good"
"1080",1244,"1ZnVfS-qP19upP_fwOhZsA","""Big Wong Restaurant""","Taiwanese;Chinese;Restaurants;Malaysian;Soup;Noodles;Asian Fusion","Las Vegas","NV",4,832,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,3752,"Good"
"1081",1245,"1zsM7weLS8fNHomDAqCh4Q","""Blasted Barley Beer Company""","Bars;Restaurants;Event Planning & Services;Caterers;Food;Gastropubs;Breweries;Pubs;Nightlife","Tempe","AZ",3.5,217,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,792,"Good"
"1082",1246,"1ZwKCoNkas26VNQnLXLq2Q","""Byron""","Burgers;Restaurants","Edinburgh","EDH",3.5,4,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,22,"Good"
"1083",1248,"2-_HV0XUYK64OylB5J4i6A","""MOD Pizza""","Fast Food;Pizza;Restaurants","Phoenix","AZ",4,67,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,105,"Good"
"1084",1250,"2-9wu090DJutG_MPUgPWQw","""Aladdin's Eatery""","Gluten-Free;Restaurants;Vegetarian;Middle Eastern;Mediterranean","Lakewood","OH",4,83,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,292,"Good"
"1085",1251,"2-su3xdxOvyF0_2GZN4FLw","""Short Stack Eatery""","Breakfast & Brunch;Restaurants","Madison","WI",4,320,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,609,"Good"
"1086",1252,"2_70xR8dAmNKj9zP1cAhWQ","""Boomerang's Bar & Grill""","Restaurants;Bars;Nightlife;American (Traditional)","Urbana","IL",4,20,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,28,"Good"
"1087",1253,"2_7lYF6P2cYKnSiPhhVyPQ","""Orbit Inn""","Nightlife;Bars;Restaurants;American (Traditional)","Ambridge","PA",3.5,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,"Good"
"1088",1254,"2_hC_X9K080F8zWP4UUB4g","""Chamango""","Food;Juice Bars & Smoothies;Creperies;Ice Cream & Frozen Yogurt;Mexican;Restaurants","North Las Vegas","NV",4,18,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,24,"Good"
"1089",1255,"2_jWcWOew5DA6wR7_eH36Q","""Papa Murphy's""","Pizza;Restaurants","Phoenix","AZ",4,22,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,49,"Good"
"1090",1256,"2_mMtnHH16EfL-AvQtk8xQ","""Nekter Juice Bar""","Gluten-Free;Food;Restaurants;Acai Bowls;Juice Bars & Smoothies","Mesa","AZ",4,17,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,6,"Good"
"1091",1257,"2_Sq1VdEUm-aN2gVR-DwBw","""McAlister's Deli""","Delis;Salad;Restaurants;Sandwiches","Concord","NC",3,19,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,110,"Good"
"1092",1259,"20P1JukOLfR023mnrDeXlw","""Carl's Jr""","Food;Mexican;Restaurants;Fast Food;Desserts","Las Vegas","NV",3,23,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,183,"Good"
"1093",1260,"20vCzyibdvXOxW42h9v_MQ","""California Pizza Kitchen""","Pizza;Restaurants","Charlotte","NC",2.5,40,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,170,"Bad"
"1094",1262,"217u7Wad7y90x4el26-TIw","""Capriotti's Sandwich Shop""","Restaurants;Sandwiches","Las Vegas","NV",4,79,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,279,"Good"
"1095",1264,"21HC9HeDaWy3vBHb9AaGGA","""Shelby's Station Bar and Restaurant Bridgeville""","American (New);Restaurants","Bridgeville","PA",4.5,21,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,21,"Good"
"1096",1265,"21sGRVR7HEs_t6PdB9tGMw","""Angelina's Pizzeria""","Burgers;Sandwiches;Salad;Italian;Pizza;Restaurants","Las Vegas","NV",2.5,177,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,143,"Bad"
"1097",1266,"221yaXPE1zmJqDvBVM__tw","""Baskin-Robbins""","Ice Cream & Frozen Yogurt;American (Traditional);Restaurants;Food","Goodyear","AZ",3,19,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,94,"Good"
"1098",1267,"2232XZ-3ub4S9cmrHJSDFg","""Ninety's Ice Cream & Sandwiches""","Juice Bars & Smoothies;Food;Restaurants;Sandwiches;Desserts;Ice Cream & Frozen Yogurt","Charlotte","NC",4,77,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,141,"Good"
"1099",1268,"228mfqUuGbnCs1kiupJXZw","""Map of Thailand""","Thai;Restaurants","Cleveland","OH",4.5,152,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,346,"Good"
"1100",1269,"22jnydtDD6sfjVs77LxJLA","""Even Stevens Sandwiches""","Restaurants;Salad;Sandwiches;Breakfast & Brunch","Peoria","AZ",4,12,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,52,"Good"
"1101",1270,"22lLsW2-h6enhfaJBknCMg","""Fresh From The Farm Juices""","Restaurants;Gluten-Free;Juice Bars & Smoothies;Food","Wexford","PA",4,12,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,14,"Good"
"1102",1271,"22LyWivLY_y_b3ohASfP2Q","""Porkopolis""","Barbeque;Restaurants","Chandler","AZ",3.5,379,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,848,"Good"
"1103",1272,"22MYhTXwSXaS4rW2VOrR-w","""Jasmine Grill""","Middle Eastern;Mediterranean;Halal;Restaurants","Charlotte","NC",4.5,365,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,983,"Good"
"1104",1273,"22nkIQ4BeSYwsyaPOczOeA","""Mother India's Cafe""","Tapas/Small Plates;Indian;Restaurants","Edinburgh","EDH",4,89,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,151,"Good"
"1105",1274,"22RFH-U5gboNJgws_GBG3w","""Groucho's Deli""","American (Traditional);Restaurants;Delis;Sandwiches","Fort Mill","SC",3.5,21,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,29,"Good"
"1106",1275,"22so15K1aqikL9FHt37CSQ","""DP Dough""","Vegan;Italian;Nightlife;Restaurants;Pizza","Tempe","AZ",3.5,90,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,498,"Good"
"1107",1276,"22ugGAn6S2cXALsfPgxghg","""Burger King""","Restaurants;Burgers;Fast Food","Glendale","AZ",2.5,12,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,74,"Bad"
"1108",1277,"243PQVgkx8eUzVaKCgC-gw","""Chapman's Food Mart""","Restaurants;Grocery;Pizza;Convenience Stores;Sandwiches;Food","Lorain","OH",4,5,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,24,"Good"
"1109",1278,"24fW-8hK0hs5KvEYWwWNDw","""Casa de Lara""","Restaurants;Mexican","Madison","WI",3,52,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,59,"Good"
"1110",1279,"24gFlV5KE-3bmMXAnu_nxQ","""McDonald's""","Fast Food;Burgers;Restaurants","Charlotte","NC",2,19,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,62,"Bad"
"1111",1280,"24hc1g8a7besgI0tMb3v7w","""Moe's Southwest Grill""","Tex-Mex;Mexican;Restaurants","Bridgeville","PA",3.5,17,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,82,"Good"
"1112",1281,"24IRm_qaeKN5gFVdPb_s8g","""Taco Bell""","Fast Food;Tex-Mex;Restaurants;Mexican","Phoenix","AZ",3,4,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,6,"Good"
"1113",1282,"24MgaUT4TWO3_kZQlBu8sw","""Chipotle Mexican Grill""","Fast Food;Mexican;Restaurants","Phoenix","AZ",2.5,26,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,47,"Bad"
"1114",1283,"24QWSJrzQFH_2Fkv33mV9w","""Stadtstrand Stuttgart""","Nightlife;Restaurants;Beer Garden;Bars;Beach Bars","Stuttgart","BW",4,15,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,11,"Good"
"1115",1284,"24Td_CQH1bonWKff1rt2vg","""Matt's Big Breakfast""","Breakfast & Brunch;Restaurants","Phoenix","AZ",4,226,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,720,"Good"
"1116",1285,"24UDZTAMDUaugpkchFk60w","""Treehouse Whiskey & Fork""","Food;Whiskey Bars;Restaurants;Nightlife;Bars;American (New)","Charlotte","NC",3,197,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,221,"Good"
"1117",1286,"24UHe1SZ4cgm6u6bU_L6xA","""Sushi Rock""","Restaurants;Asian Fusion;Sushi Bars;Japanese;Korean","Champaign","IL",3,42,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,84,"Good"
"1118",1287,"24YIAXzArY1w2GXzoUbcmw","""Wok In""","Restaurants;Vietnamese;Asian Fusion;Thai","Mesa","AZ",4,107,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,288,"Good"
"1119",1288,"25c15dEPrBrWr4tR1r6sTg","""Takamatsu""","Japanese;Restaurants;Korean","Phoenix","AZ",3.5,224,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,663,"Good"
"1120",1289,"25CzbDgm1MsT31NhA6KYog","""Kasai""","Sushi Bars;Restaurants;Japanese","Carnegie","PA",4,63,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,67,"Good"
"1121",1292,"25wTaO0_Rk-GLb4k2uMs0Q","""AquaKnox""","Steakhouses;Food;Bakeries;Lounges;Nightlife;Bars;Live/Raw Food;Restaurants;Seafood","Las Vegas","NV",4,444,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1138,"Good"
"1122",1293,"25YVFgR2pkt3u1f2fDBfnw","""Jocks & Jills Sports Grille""","Nightlife;Sports Bars;Sandwiches;American (Traditional);Restaurants;Bars","Charlotte","NC",3.5,111,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,408,"Good"
"1123",1294,"26CMx5t6_h5PWT4gcae4zw","""Beviamo Cafe""","Lebanese;Food;Vegan;Middle Eastern;Juice Bars & Smoothies;Restaurants;Coffee & Tea","Cleveland","OH",4.5,27,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,52,"Good"
"1124",1295,"26KPO5ouogeRD6svVvBGUw","""Badger & Co""","Scottish;Nightlife;Restaurants;Bars;Pubs;Breakfast & Brunch","Edinburgh","EDH",4.5,27,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,39,"Good"
"1125",1296,"26Uk74dNTGysPq2ceaj2OA","""Pier W""","Seafood;Restaurants;American (New);Breakfast & Brunch","Lakewood","OH",4,379,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,554,"Good"
"1126",1297,"2706goA6nyUtHbOrPoATCw","""IHOP""","American (New);Restaurants;American (Traditional);Breakfast & Brunch","Pittsburgh","PA",2,44,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,69,"Bad"
"1127",1298,"277ETKOLg1XreTWL8hGlHw","""Molto Bene Italian Eatery""","Restaurants;Gelato;Pizza;Food;Italian","Lakewood","OH",4.5,43,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,28,"Good"
"1128",1299,"27m3lsK3LpZm5XeGM4oVNw","""Salvatore's Pizza House""","Pizza;Salad;Chicken Wings;Sandwiches;Restaurants","Wilkinsburg","PA",4,17,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,36,"Good"
"1129",1300,"27nh-2hNnNkf2dBk9aeKHQ","""C's Restaurant Bakery and Coffee Shop""","Food;American (Traditional);Donuts;Bakeries;Restaurants","Middleton","WI",4,39,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,71,"Good"
"1130",1301,"27OH0hv4jhwKDk-hKgqw_A","""Tortas Y Raspados La Cascada""","Desserts;Sandwiches;Ice Cream & Frozen Yogurt;Restaurants;Food;Mexican;Shaved Ice","Avondale","AZ",4.5,35,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,50,"Good"
"1131",1302,"27oxCPhgCaylA0U23r2O2g","""Mariana's Supermarkets""","Food;Department Stores;Bakeries;Restaurants;Shopping;Mexican;Fashion;Grocery","North Las Vegas","NV",3.5,23,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,145,"Good"
"1132",1303,"28D2tIP_K95wZKFKmxYT4Q","""Chick-fil-A""","Caterers;Fast Food;Restaurants;Event Planning & Services","Pineville","NC",4.5,3,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,28,"Good"
"1133",1304,"28GeAA6PjuHmqgMmp1E2Uw","""Trader Jack's Riverside Grille""","Burgers;Restaurants;Seafood;Chicken Wings","Eastlake","OH",4,34,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,76,"Good"
"1134",1305,"28iyKGp1CJ_XFDLFSHVQUg","""Carl's Jr.""","Burgers;Restaurants;Fast Food","Glendale","AZ",2,20,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,84,"Bad"
"1135",1306,"28odAlXnrAs_g-QpgfHaUw","""K & W Cafeteria""","American (New);Restaurants;American (Traditional)","Concord","NC",4,11,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,52,"Good"
"1136",1307,"28QWYh_xv0uJX_1XEGqiYQ","""Subway""","Restaurants;Fast Food;Sandwiches","Gilbert","AZ",3.5,15,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,74,"Good"
"1137",1308,"296PZdxSrtH08EUwCsOKMw","""Michael's Gourmet Room""","Steakhouses;Seafood;Restaurants;American (Traditional)","Las Vegas","NV",4.5,141,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,203,"Good"
"1138",1309,"29iErFPoWBTbIVPpp9qSyg","""Ohio Tavern""","Mexican;Nightlife;Restaurants;Karaoke;Tacos;Dive Bars;Bars","Madison","WI",4,34,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,49,"Good"
"1139",1310,"29o-qEDIRpXmVmSPNsH4sA","""Vin Santo""","Italian;Restaurants","Middleton","WI",4,109,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,65,"Good"
"1140",1312,"29TiCPFXWtmg4kjZSZIvFg","""Kristy's""","Restaurants;American (Traditional)","Cleveland","OH",4,9,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,11,"Good"
"1141",1314,"2A1wvIFdKQZZe-vtTO7olQ","""Eddie's Pizzeria Cerino""","Italian;Pizza;Restaurants","Seven Hills","OH",4,88,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,184,"Good"
"1142",1315,"2A9gJkmWbBVoh6kK0jDlxA","""La Pizza Bella""","Restaurants;Pizza;Italian","Pittsburgh","PA",4,4,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,3,"Good"
"1143",1316,"2ADoawEfSAZpnQSwVEo5Ig","""Sonic Drive-In""","Fast Food;Restaurants;American (Traditional)","Phoenix","AZ",2,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,80,"Bad"
"1144",1317,"2aiaryk7kgUBhXhVu-9vHg","""Miros Cantina Mexicana""","Mexican;Restaurants","Edinburgh","EDH",4,40,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,56,"Good"
"1145",1318,"2ALi7ZYvil-BAXFa3CMUyA","""Shinto Japanese Steakhouse & Sushi Bar""","Sushi Bars;Japanese;Steakhouses;Restaurants","Strongsville","OH",3.5,140,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,281,"Good"
"1146",1319,"2alo9GzeOsbg4jeKYFQmxQ","""Santo's Pizza & Pasta""","Italian;Pizza;Food;Desserts;Restaurants","Cleveland","OH",4,61,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,100,"Good"
"1147",1320,"2aLyQgYUNQDc33U0ZxTT3A","""French Fry Heaven""","Fast Food;Food Stands;American (New);Poutineries;Restaurants","Tempe","AZ",3,50,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,59,"Good"
"1148",1321,"2aLZjt3Pkg7WvoJq2LtckA","""Hillbilly's Barbeque & Steaks""","Barbeque;Restaurants;Steakhouses","Lowell","NC",3.5,33,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,67,"Good"
"1149",1322,"2anxB5OiLo_-eFh_o2j-rw","""Chipotle Mexican Grill""","Fast Food;Restaurants;Mexican","Monroeville","PA",3,32,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,64,"Good"
"1150",1324,"2AS4HuJJHTBG6R8D9ldrdA","""Seoul Garden Korean Restaurant""","Restaurants;Korean","Cuyahoga Falls","OH",4,59,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,102,"Good"
"1151",1326,"2B46bRpDh49eDyjXGhL_ZQ","""La Maison de Maggie""","Creperies;French;Gluten-Free;Restaurants;Cafes","Las Vegas","NV",4.5,293,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,448,"Good"
"1152",1328,"2BEJCBkNzOBXaydBJf5k0A","""Sonic""","Fast Food;Restaurants","Champaign","IL",3,16,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,71,"Good"
"1153",1329,"2BFHItMhYjJzuWA4jIdlQw","""Loon Fung""","Chinese;Restaurants","Edinburgh","EDH",3.5,15,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,11,"Good"
"1154",1330,"2BHReLgbinzeO7rYuxWZ8Q","""Dude Where's my Hotdog""","Fast Food;Food Trucks;Hot Dogs;Food;Restaurants","Las Vegas","NV",4.5,19,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,17,"Good"
"1155",1331,"2bK1ng2mnRdtTh_BDNGmIg","""North End Pizza""","Restaurants;Pizza;Italian","Las Vegas","NV",3,287,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,429,"Good"
"1156",1332,"2BKcHO7WQ0iGke6EBs_Dsg","""Taco Bell""","Tex-Mex;Restaurants;Mexican;Fast Food","Waunakee","WI",2,6,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,6,"Bad"
"1157",1333,"2bmwMPrAwFjyJmGrCq4MYg","""See Pizza Und Kebap""","Restaurants;Pizza;Kebab;Italian","Böblingen","BW",3.5,6,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,19,"Good"
"1158",1335,"2bSyNMam79SlwiHwQD6RGg","""Subway""","Sandwiches;Restaurants;Fast Food","Las Vegas","NV",3.5,17,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,168,"Good"
"1159",1336,"2bTfMJCido0G8U0tk8hDkg","""FlatIron Kitchen & Taphouse""","Steakhouses;Restaurants;American (New)","Davidson","NC",3.5,158,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,326,"Good"
"1160",1337,"2bXyG9i01EjS9ttdnXToDw","""T-Bone Steakhouse""","Steakhouses;Restaurants","Phoenix","AZ",3.5,146,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,350,"Good"
"1161",1338,"2c3N10T40XI9W6EgoXNOYA","""The Cafe at Scottsdale Bible""","Bookstores;Shopping;Food;Restaurants;Sandwiches;Coffee & Tea;Books;Mags;Music & Video","Scottsdale","AZ",4.5,9,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,14,"Good"
"1162",1339,"2c9Vptks_vowLgVUMnCgjw","""Dierks Bentley's Whiskey Row""","Music Venues;Restaurants;Desserts;Country Dance Halls;American (New);Food;Nightlife;Gastropubs;Whiskey Bars;Arts & Entertainment;Breakfast & Brunch;Bars","Scottsdale","AZ",3.5,367,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,5613,"Good"
"1163",1340,"2cetuQgbP1Bnzm-uMRlocQ","""Nam's Noodle""","Asian Fusion;Chinese;Restaurants;Vietnamese;Noodles","Madison","WI",3.5,91,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,242,"Good"
"1164",1342,"2cfzQGANxuIGcCUrlwnV7w","""Popeyes Louisiana Kitchen""","Fast Food;Chicken Wings;Southern;Restaurants","Pittsburgh","PA",2,18,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,33,"Bad"
"1165",1343,"2Cmpz9lgr-wfOLAwgUf79g","""ZenZen Taste 四合院""","Asian Fusion;Restaurants;Chinese","Madison","WI",4,35,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,34,"Good"
"1166",1344,"2cMWPqJLjQ-ZvH2HvJvMsA","""Adam's Place""","American (Traditional);Sandwiches;Restaurants;Burgers","Cleveland","OH",4,11,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,16,"Good"
"1167",1345,"2CNaSduqZIsCRuNvdO_TAQ","""Chipotle Mexican Grill""","Restaurants;Fast Food;Mexican","Tempe","AZ",3,32,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,71,"Good"
"1168",1346,"2cnkFsZCMp2iVEzrkj2QAw","""Church's Chicken""","Restaurants;Chicken Wings","Phoenix","AZ",2,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,61,"Bad"
"1169",1349,"2d9ABtvEBcGCcN6B13Fy1w","""Eighth & Hays""","Cocktail Bars;Bars;Wine Bars;Pizza;Nightlife;Restaurants","Homestead","PA",4.5,57,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,46,"Good"
"1170",1350,"2d9yZ11uVa83OEQWxe4vlQ","""Conicella Pizza""","Restaurants;Pizza","Pittsburgh","PA",4.5,34,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,50,"Good"
"1171",1351,"2dCnTMv3Hh-fM8bOjYS4Xw","""Nevada Chicken Cafe""","Sandwiches;Restaurants;American (New);Salad;Food;Barbeque;American (Traditional);Cafes","Las Vegas","NV",3.5,326,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,924,"Good"
"1172",1352,"2dj-zgPDa_pmA2QO2TLyxg","""Restaurant Wielandshöhe""","International;German;Caterers;Event Planning & Services;Restaurants","Stuttgart","BW",4.5,59,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,9,"Good"
"1173",1353,"2DmTw0k3bcXuHdAyxO_bkw","""Tryst Cafe""","Breakfast & Brunch;Food;Cafes;Diners;Coffee & Tea;Restaurants","Phoenix","AZ",3.5,498,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1432,"Good"
"1174",1354,"2dNjePYVp2AVei4ZoSDaaA","""The Goldmark""","Arts & Entertainment;Car Dealers;Real Estate Agents;American (Traditional);Nightlife;Real Estate;Bars;Restaurants;Cocktail Bars;Cuban;Home Services;Automotive;Music Venues","Pittsburgh","PA",3.5,20,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,43,"Good"
"1175",1355,"2DO-8SvPvx1rACloHiD9Mw","""Lotus Cafe Chinese Cuisine""","Chinese;Restaurants","Charlotte","NC",3,28,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,27,"Good"
"1176",1356,"2DODGcOKKhegTzscdwWRig","""Showmars Fort Mill-Hwy 521""","Greek;American (New);Restaurants","Fort Mill","SC",3.5,30,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,124,"Good"
"1177",1357,"2dTjaNEpiVeBAt6JLBQsOw","""McDonald's""","Fast Food;Burgers;Restaurants","Streetsboro","OH",2,10,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,52,"Bad"
"1178",1358,"2DUdvdQE8FOxCHHp59HHzw","""Bertha's Café""","Food;Breakfast & Brunch;Sandwiches;Restaurants;Bakeries","Phoenix","AZ",4.5,352,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1201,"Good"
"1179",1359,"2dUXkonsAdoXKAalTnmlig","""Dimas Tacos""","Restaurants;Mexican","Las Vegas","NV",4,35,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,114,"Good"
"1180",1360,"2DydwQRkIutHarWT_o1L0Q","""Don Chuy Mexican Grill""","Mexican;Fast Food;Tacos;Restaurants","Las Vegas","NV",3,50,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,266,"Good"
"1181",1361,"2EhBiUnUTl_H2s4DXdKCTg","""Bistro 19""","American (New);Restaurants","Mount Lebanon","PA",4.5,143,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,204,"Good"
"1182",1362,"2eMgUhi6QGqX5pOBcH6cfQ","""Buschpilot""","Nightlife;Bars;Food;Swabian;German;Restaurants","Stuttgart","BW",4.5,9,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,13,"Good"
"1183",1363,"2EqeMNnCS_TvunnH2byPmg","""La Commedia""","Restaurants;Pizza;Bars;Nightlife;Lounges;Italian","Stuttgart","BW",3.5,25,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,6,"Good"
"1184",1364,"2EseSYpIwW6JaA0wUojd4Q","""On The Border Mexican Grill & Cantina""","Restaurants;Mexican;Tex-Mex","Gastonia","NC",3,37,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,140,"Good"
